Word,Language,Example
abruties,FRA,"Depuis que nous avons eu la révolution des médias pour aider à établir une certaine part de la vérité sur ce qu’est la réalité, certaines évidences éclatèrent dans des têtes abruties par le travail."
abruties,FRA,"Son taulier l’a désactivé, épuisé de répondre aux offuscations de petites frappes abruties de moraline."
abruties,FRA,Tss abruties!
abrutissantes,FRA,"Jetez-les en prison, condamnez-les aux travaux forcés, aux tâches abrutissantes, vous ne leur enlèverez jamais la capacité à trouver dans la vie la poésie et la musique.”"
abrutissantes,FRA,"Une bonne image des tendances impérialistes et abrutissantes de l’enseignement indigène est fournie par ces dictées de certificat d’étude qui exaltent La marseillaise ou répètent aux enfants sur tous les tons : « apprenez le travail, la discipline, le respect. »"
abrutissent,FRA,Il n’y a pas d’un côté ceux qui s’abrutissent et d’un autre côté ceux qui se prennent la tête.
abrutissent,FRA,"Tant que les hommes ne connaîtront pas les moyens d’utiliser cette énergie sexuelle pour des travaux gigantesques, ils vont la gaspiller et c’est pourquoi ils s’appauvrissent, ils s’abrutissent."
abrutissent,FRA,"J'en connais qui les ""abrutissent"" sur un iPad a 1ans 1/2 déjà, c'est super ludique, rien que le side du screenlock :)"
abrègent,FRA,"tous les labels font ça, c'est les références de l'ep. ils abrègent le nom du label et mettent le numéro de la sortie."
abrégeant,FRA,"On remarqua qu’en abrégeant ainsi un mot, on restreignait et changeait subtilement sa signification, car on lui enlevait les associations qui, autrement, y étaient attachées."
abrégeant,FRA,"Des trombes d'eau s'abattent sur Phnom Penh, abrégeant la soirée sur riverside."
abrégés,FRA,"Les illustrateurs ont forcément coupé certains moments du livre ou les ont abrégés ce qui rend l'ouvrage plus digérable, si je puis dire."
absentés,FRA,"Dans les deux cas, les occupants des lieux s'étaient momentanément absentés."
absentés,FRA,"Il était 20 heures environ quand les propriétaires d'une maison, qui s'étaient absentés pendant trois jours, ont alerté la gendarmerie qu'ils venaient de découvrir un corps dans le ruisseau la Joyeuse qui coule au fond de leur jardin, à Saint-Palais."
absentés,FRA,Les parents ont dit s'être absentés depuis une demi-heure et avoir voulu laisser leur enfant de moins de deux ans dormir.
absentés,FRA,"Les occupants d’une maison du village Chez Nauve s’étaient absentés, mardi après midi, et ne sont rentrés que vers 22h30."
absentés,FRA,Les locataires se sont absentés.
absorba,FRA,"Cette femme, Te Rangikoaea, se plaça au dessus de la fosse et absorba le sortilège."
absorba,FRA,"Lily absorba une nouvelle dose de fumée aromatisée au menthol, tandis qu’une ombre passa dans son regard."
absorbaient,FRA,"Ce grand amateur de thé a eu l'idée d'utiliser les fèces de panda comme engrais après avoir assisté en juillet à un séminaire où il a découvert que ces mammifères absorbaient moins de 30% des bambous qu'ils consomment, rejetant par les voies naturelles les 70% restant."
absorbaient,FRA,"En revanche, cette question de santé publique préoccupe sérieusement les pays d'Amérique du Sud qui absorbaient en 2009 la moitié des exportations de l'entreprise française."
absorbaient,FRA,"De telles restrictions n’avaient pas cours en Ecosse, de sorte que les actionnaires absorbaient toutes les pertes financières."
absorbaient,FRA,Un confrère hypnothérapeute a traité 2 gamines de 12 ans qui faisaient des crises terribles si elles n’absorbaient pas un pot entier par jour !
absorbeur,FRA,"Areva a affrété un premier avion-cargo vendredi 18 mars, transportant à son bord 100 tonnes d'acide borique (un absorbeur de neutrons, qui permet de réguler le processus de fission) et du matériel de protection : 10 000 combinaisons, 20 000 paires de gants, 3 000 masques, une centaine d'appareils d'aide respiratoire."
absorbeur,FRA,"Si aucun blessé n'est à déplorer, « le véhicule a perdu beaucoup de carburant et il a fallu l'intervention d'un absorbeur et d'une balayeuse pour nettoyer la chaussée."
absorbeur,FRA,"Une chose à ne jamais faire, c'est bien de mettre un verre de lait chaud ou tiède dans le frigo, à moins de le faire sciemment car c'est un absorbeur d'odeur, rien de tel pour désodoriser son frigo..."
absorbeur,FRA,"Il est également un absorbeur de lumière bleue, qui aide à prévenir les maladies oculaires telles que la dégénérescence maculaire."
absout,FRA,"Ce décalage est une constante anthropologique, accrue par la civilisation technique et par la division du travail qui nous absout de toute responsabilité."
absout,FRA,"Ainsi, automatiquement celui qui la récite se verrait totalement absout de toute conséquence et serait de ce fait déchargé de toute obligation de respecter sa parole."
absout,FRA,"Tout à l'heure, j'ai eu droit à l'Inquisition Maternelle qui m'a absout de tous mes péchés par un ""oh dis que c'est joli..."""
absout,FRA,Le corps médical l'a absout.
abstenait,FRA,"Et si un média s’abstenait d’évoquer un sujet parce qu’il risque de froisser, ça serait vraiment très triste (d’ailleurs j’ai déjà dit ici combien je trouvais nos médias tristes)."
abstenues,FRA,"Le revers diplomatique, notamment pour la France, qui avait co-rédigé le texte, est d'autant plus grand que les autres puissances émergentes siégeant au Conseil, l'Afrique du Sud, le Brésil, l'Inde et le Liban, se sont abstenues."
abstenues,FRA,"Dans ce contexte, si le patronat a longtemps évité une flambée des salaires, c'est par une entente tacite avec les syndicats: les entreprises se sont abstenues de trop recourir à la main-d'œuvre étrangère, en échange de la modération des revendications salariales.»"
abstenues,FRA,"Les trois autres centrales -FO, CFTC, CFE-CGC- se sont abstenues."
abstenues,FRA,Les autorités monétaires se sont toutefois abstenues de prendre de nouvelles mesures d'assouplissement pour le moment.
abstenues,FRA,L'Autriche et l'Estonie se sont abstenues.
acabits,FRA,"Et voir ces corps de tous acabits effectuer des figures, des gestes et se mouvoir dans l’espace avec élégance et grâce, j’ai trouvé ça beau tout simplement."
acadien,FRA,Le 13 décembre était la journée du souvenir acadien.
acadien,FRA,"Cette date marque l’anniversaire du naufrage du Duke William en 1758, l’événement qui a pris dans seul coup le plus grand nombre vie acadienne de toutes les tragédies de la Grand Dérangement."
acadien,FRA,Mon voyage de routard Mississippi – « Grand réveil acadien » a été formidable.
acadien,FRA,"Depuis ses débuts en novembre 2001, le groupe acadien La Virée s’est produit à travers le Canada et la France à plusieurs reprises."
acadien,FRA,"La musique traditionnelle acadienne est le style de prédilection du groupe, mais il n’est pas rare que le groupe revisite le folklore pour en faire ressortir une saveur de folk contemporain; une musique de la côte est canadienne."
acadien,FRA,"Deux élèves, Jean-Sébastien Comeau et Mélanie Céline Leblanc, accompagnés de leur enseignant, Daniel Bourgeois, présenteront lors de la FoirExpo le fruit de leur recherche sur « le parler acadien. »"
acadien,FRA,"Le tout sera divisé en six chapitres, lesquels serviront comme point de départ pour étudier l’histoire du parler acadien, comprendre ses particularités langagières, élaborer les « normes » de cette langue, examiner son statut social, explorer les facteurs influant son évolution, et finalement élaborer un plan d’aménagement linguistique pour assurer une présence francophone en Acadie dans le futur."
acadien,FRA,Congrès mondial acadien 2014
acadien,FRA,"La Société nationale de l’Acadie (SNA) regroupe les associations provinciales acadiennes ainsi que les associations de jeunesse francophones du Canada atlantique dont, au Nouveau-Brunswick, la Société de l’Acadie du Nouveau-Brunswick et la Fédération des jeunes francophones du Nouveau-Brunswick."
acadien,FRA,Elle voit ses origines remonter à la première convention acadienne de 1881 de Memramcook.
acadien,FRA,La SNA assure l’organisation d’activités et de manifestations d’envergure pour le peuple acadien en plus de bénéficier d’ententes et de partenariats avec des organismes francophones au niveau national et international.
acadien,FRA,"Lors d’un des évènements du GRA, j’ai appris qu’il y aura au moins deux autres rencontres/fête acadiennes avant le prochain Congrès Mondial Acadien en 2014."
acadien,FRA,Le voyage a été également l’occasion pour Alfred Bourgeois (président de l’Association des Bourgeois de descendance acadienne) et moi de rencontrer les organisateurs du Congrès Mondial Acadien 2014 et ainsi que le président de “Fédération des Association des Famille Acadienne” (FAFA) et de commencer développer un plan pour les Retrouvaille Bourgeois qui aura lieu lors du Congrès mondial acadien 2014.
accablées,FRA,"À deux mètres de là, Burns, un grand monsieur aux cheveux gris qui travaille toujours à 67 ans, déclare en bon conservateur que les entreprises sont «accablées de taxes»."
accablées,FRA,"Accepter cet argent-là, si tel a été le cas, revient à se faire le complice de pouvoirs locaux amassant des fortunes personnelles sur le dos de populations déjà accablées par le sort."
accablées,FRA,"Ses amies, dont le scénario, par souci de vraisemblance, a souligné qu'elles étaient accablées de crédits et forcées d'occuper un second emploi, restent sur leur barreau de l'échelle sociale."
accablées,FRA,"Nous réglerons nos comptes avec eux, quand ils sortiront”, menace-t-il devant les familles accablées avant d’ajouter brutalement“mais s’il faut payer, je paierai !”""."
accablées,FRA,"accablées d’être, réalités"
accentuaient,FRA,"Une trentaine de minutes après le début de la séance, toutes ces places financières accentuaient leur pertes, notamment Paris (-3,28%)."
accentuaient,FRA,"De leur côté, les cours du pétrole accentuaient leur recul mardi, entraînés dans un tourbillon de vente par la chute des Bourses mondiales, le Brent londonien retombant même brièvement sous 100 dollars le baril pour la première fois depuis février."
accentuaient,FRA,"Peu après le discours de Jean-Claude Trichet, alors que les marchés accentuaient leurs pertes, la diffusion de tous les indices européens, dont l'indice phare de la Bourse de Paris, gérés par NYSE Euronext, a été indisponible durant près d'une heure, en raison d'un problème technique."
accentuaient,FRA,"Sa barbe piquetée de gris, ses yeux tombants, accentuaient la douceur de sa voix."
accentuaient,FRA,Mais le Maroc lui aussi était une impasse et les années qui s’étaient écoulées sans qu’il ne parvienne à traverser lui avaient laissé un goût amer dans la bouche qu’accentuaient les plages d’Agadir chaque fois qu’il les regardait.
accentuaient,FRA,Des bajoues accentuaient son côté chérubin bientôt déchu.
acceptations,FRA,L'Etat a enregistré à ce jour 453 acceptations.
acceptations,FRA,L’optimisation du TPP se fait par un savant mécanismes d’acceptations et de refus.
acceptations,FRA,Cette obéissance acceptée a des conséquences inconscientes importantes sur ses autres acceptations des thèses étatiques de son employeur.
acceptations,FRA,"L’idée est plutôt de garder l’œil ouvert sur toutes nos petites acceptations du quotidien, et les grandes aussi – qui sont souvent aussi graves de conséquences que difficiles à distinguer, sur l’air connu de plus c’est gros moins ça se voit."
acceptations,FRA,"Par exemple, un prêt hypothécaire reçoit une pondération de 35%, donc pour une hypothèque de $100,000, la banque prête au moins $1,400 de son propre capital Tier 1 et le reste provient de d’autres sources telles que des dépôts, obligations, débentures, acceptations bancaires, repo, etc. Pour un titre de dette de gouvernement coté AAA, la pondération est de 0%, donc la banque ne doit mettre aucun capital pour les acquérir."
accepterions,FRA,Il est évident que nous n’accepterions jamais le terme de « mauvais traitements » pour désigner des crimes comparables ou même moins graves commis par nos ennemis.
accessoiriste,FRA,"Notons enfin que seront aussi présents l’assurance Mutuelle de Motards ; la Caisse d’Épargne ; la FFMC (Fédération française des motards en colère) ; l’INCM (Institut national du cycle et du motocycle) et Speedway, équipementier et accessoiriste avec les équipementiers Dainese et Shark."
accessoiriste,FRA,"Michael Slack, concepteur et accessoiriste des robes"
accessoiriste,FRA,"Hep, à tout hasard, quelqu'un connaîtrait un(e) déco et/ou accessoiriste ok pour bosser sur un CM non rémunéré fin novembre ?"
accessoiriste,FRA,"RT Selon un accessoiriste, Apple a multiplié par 3 les ventes de Magic Trackpad depuis la sortie de Lion."
accessoiriste,FRA,"[entendu dans la rédac] ""Grâce à mon grand-oncle, mon père a été accessoiriste dans un porno"""
accommodée,FRA,"Il y avait, entre autres choses, une entrée accommodée avec de l'ail, qui était excellente, et dont tout le monde voulait avoir … histoire racontée par le pourvoyeur du sultan de Casgar"
accommodée,FRA,"Les premiers vers de la chanson, car il pouvait s'agir d'une poésie qui se serait bien accommodée d'une mélodie, paraissaient bucoliques et anodins."
accommodée,FRA,"Fatal.Tout ça pour être détricotée, accommodée de diverses vinaigrettes et dévorée sans scrupules par un être qui nous croit dénuée de toute sensibilité."
accompagneraient,FRA,"François Baroin, le ministre du Budget, a également indiqué que le gouvernement s'orientait vers une exonération de charges pour les entreprises qui accompagneraient le versement de dividendes à leurs actionnaires d'une prime pour les salariés."
accompagneraient,FRA,"Hier, Nicolas Sarkozy et Alain Juppé ont indiqué qu'ils accompagneraient les changements, tout en restant «vigilants»."
accompagneraient,FRA,"« Je me suis positionné, pas pour être entraîneur ni président mais pour entrer dans le capital avec des gens qui m’accompagneraient dans cette aventure », explique Fernandez."
accompagneraient,FRA,"Et Jean Charest serait-il, par conséquent, le Père de la “séparation tranquille”?…Évitant ainsi au Québec, d’autres référendums, et toutes les “turbulences” qui accompagneraient nécessairement, une “séparation officielle” de la belle province!…"
accompagneraient,FRA,[#rugby] RT Y. Bru et P. Lagisquet accompagneraient PSA pour entraîner les avants et arrières du
accomplirait,FRA,Il est bien là son problème… pourquoi un homme en or accomplirait la besogne de l’homme d’argent.
accomplissez,FRA,Et accomplissez la salat et acquittez la zakat.
accomplissez,FRA,Si vous êtes tenace et si vous accomplissez chaque jour plusieurs appels audiotel pour obtenir vos codes de jeu.
accomplissez,FRA,et si vous accomplissez chaque jour des appels audiotel pour recevoir vos codes de jeu.
accomplissez,FRA,"En agissant, vous accomplissez. »"
accomplissons,FRA,"Buffon (Histoire naturelle, Gallimard, 1995, p.215) renchérit en disant : « Si les animaux travaillaient au sens strict, les castors aujourd’hui bâtiraient avec plus d’art et de solidarité que ne bâtissaient les premiers castors, l’abeille perfectionnerait encore tous les jours la cellule qu’elle habite » C’est donc cette perfectibilité qui se traduit dans les tâches que nous accomplissons et les moyens que nous utilisons au fil du temps."
accomplissons,FRA,"Un homme qui monte sur un pont pour le peinturer ou le nettoyer ne sera pas payer 10$ l’heure, mais plutôt dans un salaire entre 100$ et 150$ l’heure parce que son travail est dangereux, le métier de camionneur est un métier dangereux et nous devrions avoir un meilleur salaire pour le travail que nous accomplissons chaque jour pour livrer des produits qui servirons à plusieurs d’entre vous qui aurons besoin de s’essuyer les fesses après une grosse job au toilette ou encore tout les produits de l’alimentation qui ce retrouve au super marché, comment est arrivé la ?"
accomplissons,FRA,"Dans notre parti politique, nous accomplissons ce que nous promettons."
accomplissons,FRA,"Perpétuée par nos parents, c’est désormais ma sœur et moi qui accomplissons le rituel: nous allons aux rencontres internationales des luthiers et maîtres sonneurs, plus connues sous le nom officieux de “festival de Saint-Chartier”."
accort,FRA,Le personnel accort.
accort,FRA,Mais je ne suis pas d’accort avec lui.
accort,FRA,"Ex: ""Il est d'une humeur accorte""."
accostant,FRA,"« Il y avait eu une tempête et en accostant, le bateau avait heurté une barge, se souvient Nicole Delcloy, il y a eu une brèche, et on a dû attendre qu'ils réparent avant de repartir. »"
accostant,FRA,"Puisqu'il n'est plus lieu de revenir sur les heures noires du passé, nous pourrions en faire usage pour que naissent l'effroi chez les rescapés accostant les côtes européennes."
accostant,FRA,"Des couples qui se parlent entre eux… Des hommes qui cherchent à se placer en accostant, à tout va…"
accote,FRA,Elle accote sa canne et essaye à nouveau.
accote,FRA,S. s’accote dans le mur et se ferme les yeux.
accote,FRA,"Des services de navette sont en place depuis la Place d'Youville, et je deviens de plus en plus une adepte du bus pour me déplacer dans ce genre d'évènements rassembleurs, car l'autobus empreinte des voies réservées et va souvent plus vite que les voitures, et finalement, le prix du bus n’accote même pas le prix du stationnement en ville!"
accouchaient,FRA,"«Les disparues, les fers aux pieds, accouchaient encagoulées : elles ne pouvaient voir le visage de leurs bébés», dit à l'AFP Carlos Munoz, un survivant de l'Ecole de Mécanique de la Marine (Esma)."
accouchaient,FRA,"A Baltimore, en 1860, une étrange naissance eut lieu à l'hôpital, ce qui en soi était déjà un anachronisme à une époque où les femmes accouchaient chez elles"
accouchaient,FRA,"Je crois fermement que la liberté et l’égalité, que le peuple de France a élaboré époque après époque, siècle après siècle, n’avaient de sens que si elles accouchaient de la fraternité."
accoucherait,FRA,"Je lui ferais l’amour, après quoi elle accoucherait d’enfants qui seraient un jour garçons, un jour filles."
accoucherait,FRA,qui de la Primaire PS ou de la Carla accoucherait d'une souris ?
accoucheurs,FRA,"« En 2003, 10 % des têtards d'alyte, futurs crapauds accoucheurs, étaient infectés par le Chytride."
accoucheurs,FRA,Les travaux ont montré l'impact fort de ce pathogène notamment sur les populations de crapauds accoucheurs.
accoucheurs,FRA,"Une colonie de crapauds accoucheurs, une espèce protégée, a été découverte sur le terrain de la future ZAC (zone d'aménagement concerté) de Ferro Lèbres."
accoucheurs,FRA,"Le rapt, le viol, l’abattage – il existe des camps d’abattage dans plusieurs pays européens, pas seulement dans les Balkans et en Europe centrale, mais également en Italie, où l’abattage est nommé « écolage » – la terreur et le meurtre ne cessent d’être des accoucheurs et des prolongateurs de cette industrie ; ils sont fondamentaux non seulement pour le développement des marchés, mais également pour la « fabrication » même des « marchandises », car ils contribuent à rendre les personnes prostituées « fonctionnelles » – cette industrie exigeant une disponibilité totale des corps."
accoucheuse,FRA,"Nombre de femmes se voient donc dans l'obligation d'accoucher chez elles, avec les services moins onéreux d'une accoucheuse sans qualification, ou d'un sorcier de village, plaçant l'Indonésie à un piètre 117e rang dans le classement mondial de l'ONU pour la mortalité infantile (avec près de 29 morts pour 1.000 naissances)."
accoucheuse,FRA,"Nos sens nous jouent depuis toujours des mauvais tours, j’essaie d’imaginer les mains de l’accoucheuse sur ma peau pour la première fois, ça devrait m’irriter, moi qui me suis habituée à la douceur de l’eau où j’ai baigné pendant des mois, je me demande aussi sur les premières ondes sonores qui ont effleuré mes tympans, ça devrait être les ondes de mes cris, mais c’est encore plus probable que ça soit la voix d’une infirmière grossière en train de râler pour que ma mère dépêche mon “éjection”, et ce qui m’est le plus difficile à imaginer c’est ma réaction à l’air, et comment j’ai pu d’un coup remplir mes poumons collabés d’air, et initier ma respiration, je claque cette image à la scène d’un nageur noyé qu’on a réussi à sauver, et qui grâce à certaines manipulations a pu reprendre sa respiration mais après un long soupir sonore, cependant les points de divergence restent qu’un nageur a déjà appris à respirer contrairement à moi, et qu’il était heureux d’être sauvé, pas moi qui aurait préféré rester au ventre de ma mère …"
accoucheuse,FRA,"Et bien sûr, j'ai cet espèce de 6ème sens qui me fait pressentir ce qu'un texte pourrait devenir s'il était retravaillé dans telle ou telle direction...réorganisé, remanié dans le sens de ce que l'auteur a vraiment voulu dire... une seule question suffit parfois pour lui en faire prendre conscience... et que ça fasse tilt.J'aime énormément faire ça, je sais que j'ai cette intuition qui me permet de saisir l'essentiel d'un texte et même de la personne, parfois simplement en la regardant lire son texte... le corps parle énormément!Je me sens alors comme une sorte d""accoucheuse"", de ""sage femme""... (oups ça fait pas un peu prétentieux de dire ça?)"
accourait,FRA,La mère inquiétée par les cris accourait toujours dans le cabinet et se faisait tuer à son tour.
accoutument,FRA,"Je vais prendre un autre exemple, celui de la dépendance à force d’accoutumance comme la drogue ou l’alcool, quelqu’un qui se drogue ou boit pour la première fois a un sentiment de rejet car l’ADN filtre ce qui peut être nocif pour le corps humain mais lors d’absorptions abusives, les gènes s’accoutument et se modifient en fonction et c’est pour cette raison que des gens avec quatre grammes d’alcool dans le sang tiennent debout alors que la plupart d’entre nous seraient dans un coma éthylique."
accrocheront,FRA,"Je monterai sur ses racines entrelacées, je m’approcherai de lui, autant qu’il est possible de m’approcher de cet être, autant qu’il est aussi de s’approcher d’un être, je sentirai contre moi l’écorce rugueuse, des morceaux s’en détacheront, tomberont dans mon cou, s’accrocheront par endroits à l’étoffe de ma robe, et ce soir, j’en retrouverai encore dans mes cheveux."
accroissait,FRA,"En son temps, Staline se vantait du fait qu’en Russie l’industrie lourde s’accroissait plus rapidement que l’industrie légère, pourtant très profitable ; selon lui cela démontrait que la loi de la valeur ne réglait pas le développement des diverses branches de la production."
accroissait,FRA,L’écart s’accroissait lentement mais surement sur le panneau que me présentait à intervalles réguliers l’ardoisier.
accroissait,FRA,"Le revenu des plus riches, lui, s’accroissait pendant ce temps de 16%."
accroissait,FRA,"Max Weber, dans Le Savant et le politique (1919) considérait que le progrès de la science reposait sur le fait, non que les connaissances globales s’accroissait, mais que chacun, pouvait, s’il le souhait, comprendre le monde, se “prouver qu’il n’existe en principe aucune puissance mystérieuse et"
